id,clase_construcion,clase_zonificacion,proximidad_calle,area_propiedad,acceso_carretera,acceso_callejon,forma_propiedad,nivelado_propiedad,tipo_servicios,tipo_solar,nivelado_solar,vecindarion,proximidad_ferrocarril,proximidad_ferrocarril2,tipo_propiedad,estilo_propiedad,calidad_material,condicion_general,anio_construcion,anio_remodelacion,tipo_techo,material_techo,cubierta_exterior,revestimiento_exterior,tipo_chapa,area_revestimiento,calidad_exterior,condicion_exterior,tipo_cimiento,calidad_sotano,condicion_sotano,exposicion_sotano,tipo_sotano1,area_asotano1,tipo_sotano2,area_sotano2,area_nosotano,area_sotano,tipo_calefacion,calidad_calefacion,tipo_aireAcond,tipo_electricidad,area_piso1,area_piso2,area_bajacalidad,area_habitableUp,n_baniosSotano,n_mitadBanioSotano,n_banios,n_medioBanio,BedroomAbvGr,KitchenAbvGr,calidad_cocina,n_habitacionesNoBanios,calificacion_domestica,n_chimeneas,calidad_chimeneas,tipo_garage,anio_garage,acabado_garage,area_garageCoches,area_garage,calidad_garage,condicion_garage,tipo_entrada,area_madera,area_porcheAbierto,area_porcheCerrado,area_tresEstaPorche,area_pantalla_porche,area_pisicina,calidad_piscina,calidad_cerca,caracteristicas_noCubiertas,valor_miscelanea,mes_vendido,anio_vendido,tipo_venta,condicion_venta,precio
693,NEWER,LD,42.0,26178,P,,1,LVL,ALLPUB,INSIDE,1,Timber,NORNAM,NORMAL,SD,TS,7,5,1989,1990,H,SS,MS,METALSD,BF,293.0,GD,2,PC,4.0,3.0,4.0,6.0,965.0,1.0,0.0,245.0,1210.0,GASA,4,1,SBRKR,1238,1281,0,2519,1.0,0.0,2,1,4,1,GD,9,TYP,2,GD,ATTCH,1989.0,RFN,2.0,628.0,TA,TA,Y,320,27,0,0,0,0,,,,0,4,2006,WD,NORMAL,335000.0
694,OLDER,LD,60.0,5400,P,,0,LVL,ALLPUB,CORNER,2,OldTown,NORNAM,NORMAL,SD,OS,5,6,1921,1968,G,SS,MS,METALSD,N,0.0,TA,2,BT,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1073.0,1073.0,GASA,4,1,SBRKR,1073,0,0,1073,0.0,0.0,1,0,2,1,TA,4,TYP,0,,DETCH,1968.0,UNF,1.0,326.0,TA,TA,Y,0,0,112,0,0,0,,,,0,12,2006,WD,ABNORMAL,108480.0
695,FINISHEDAGES,MD,51.0,6120,P,,0,LVL,ALLPUB,CORNER,0,BrkSide,NORNAM,NORMAL,SD,OHF,5,6,1936,1950,G,SS,WS,WDSDNG,N,0.0,TA,1,BT,3.0,3.0,1.0,1.0,0.0,1.0,0.0,927.0,927.0,GASA,2,1,SBRKR,1067,472,0,1539,0.0,0.0,1,1,3,1,TA,5,TYP,0,,DETCH,1995.0,UNF,2.0,576.0,TA,TA,Y,112,0,0,0,0,0,,MNPRV,,0,4,2009,WD,NORMAL,141500.0
696,NEWERSTYLES,LD,54.0,13811,P,,1,LVL,ALLPUB,INSIDE,0,Timber,NORNAM,NORMAL,SD,OS,6,6,1987,1987,G,SS,HB,HDBOARD,BF,72.0,TA,2,CB,4.0,4.0,1.0,6.0,980.0,2.0,40.0,92.0,1112.0,GASA,3,1,SBRKR,1137,0,0,1137,1.0,0.0,2,0,2,1,GD,5,TYP,1,TA,ATTCH,1987.0,UNF,2.0,551.0,TA,TA,Y,125,0,0,0,0,0,,,,0,7,2006,WD,NORMAL,176000.0
697,OLDER,MD,50.0,6000,P,,0,LVL,ALLPUB,INSIDE,0,BrkSide,NORNAM,NORMAL,SD,OS,5,7,1921,1950,G,SS,WS,WDSHING,N,0.0,TA,2,CB,3.0,3.0,1.0,2.0,616.0,1.0,0.0,0.0,616.0,GASA,3,1,SBRKR,616,0,0,616,0.0,0.0,1,0,2,1,TA,4,TYP,0,,DETCH,1921.0,UNF,1.0,205.0,TA,TA,Y,0,0,129,0,0,0,,,,0,6,2006,WD,NORMAL,89000.0
698,NEWERSTYLES,LD,57.0,6420,P,,1,LVL,ALLPUB,INSIDE,0,Edwards,NORNAM,NORMAL,SD,OS,5,7,1952,1952,G,SS,WS,WDSDNG,N,0.0,TA,2,PC,5.0,4.0,2.0,2.0,210.0,5.0,551.0,219.0,980.0,GASA,1,1,FUSEA,1148,0,0,1148,0.0,1.0,1,0,2,1,TA,6,TYP,0,,DETCH,1952.0,UNF,1.0,308.0,TA,TA,Y,0,0,0,0,0,0,,,,0,9,2006,WD,NORMAL,123500.0
699,NEWERSTYLES,LD,65.0,8450,P,,0,LVL,ALLPUB,INSIDE,0,Sawyer,RRAE,NORMAL,SD,OS,5,8,1965,2009,G,SS,MS,METALSD,N,0.0,TA,3,CB,3.0,3.0,1.0,6.0,553.0,4.0,117.0,224.0,894.0,GASA,4,1,SBRKR,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,TYP,1,GD,DETCH,1973.0,UNF,1.0,336.0,TA,TA,Y,416,144,0,0,0,0,,MNPRV,,0,4,2010,WD,NORMAL,138500.0
700,PUD,VR,59.0,4282,P,P,2,LVL,ALLPUB,INSIDE,0,Somerst,NORNAM,NORMAL,TEU,OS,7,5,2004,2004,G,SS,MS,METALSD,N,0.0,GD,2,PC,4.0,3.0,2.0,6.0,16.0,1.0,0.0,1375.0,1391.0,GASA,4,1,SBRKR,1391,0,0,1391,0.0,0.0,2,0,2,1,GD,5,TYP,0,,ATTCH,2004.0,RFN,2.0,530.0,TA,TA,Y,156,158,0,0,0,0,,,,0,7,2008,WD,NORMAL,196000.0
701,NEWERSTYLES,LD,85.0,14331,P,,0,LVL,ALLPUB,INSIDE,0,Timber,NORNAM,NORMAL,SD,OS,8,5,2002,2002,H,SS,VS,VINYLSD,BF,630.0,GD,2,PC,5.0,3.0,4.0,6.0,1274.0,1.0,0.0,526.0,1800.0,GASA,4,1,SBRKR,1800,0,0,1800,1.0,0.0,2,0,3,1,GD,7,TYP,1,GD,ATTCH,2002.0,FIN,3.0,765.0,TA,TA,Y,270,78,0,0,0,0,,,,0,5,2006,WD,NORMAL,312500.0
702,NEWERSTYLES,LD,80.0,9600,P,,0,LVL,ALLPUB,INSIDE,0,NWAmes,NORNAM,NORMAL,SD,OS,7,5,1969,1969,H,SS,HB,HDBOARD,BF,168.0,TA,2,CB,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1164.0,1164.0,GASA,2,1,SBRKR,1164,0,0,1164,0.0,0.0,1,1,3,1,TA,6,TYP,0,,ATTCH,1969.0,UNF,2.0,528.0,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2006,COD,NORMAL,140000.0
703,NEWER,LD,82.0,12438,P,,1,LVL,ALLPUB,INSIDE,0,StoneBr,NORNAM,NORMAL,SD,TS,8,5,2006,2006,H,SS,VS,VINYLSD,BF,466.0,EX,2,PC,5.0,4.0,1.0,1.0,0.0,1.0,0.0,1234.0,1234.0,GASA,4,1,SBRKR,1264,1312,0,2576,0.0,0.0,2,1,4,1,EX,10,TYP,1,GD,BUIN,2006.0,FIN,3.0,666.0,TA,TA,Y,324,100,0,0,0,0,,,,0,7,2006,NEW,PARTIAL,361919.0
704,CONVERSION,MD,76.0,7630,P,,0,LVL,ALLPUB,INSIDE,0,OldTown,FEEDR,NORMAL,TC,TS,5,9,1900,1996,G,SS,WS,WDSDNG,N,0.0,TA,3,BT,4.0,3.0,1.0,1.0,0.0,1.0,0.0,360.0,360.0,GASA,3,1,SBRKR,1032,780,0,1812,0.0,0.0,2,0,4,2,GD,8,TYP,1,PO,DETCH,1999.0,UNF,2.0,672.0,TA,TA,N,344,0,40,0,0,0,,MNPRV,,0,5,2010,WD,NORMAL,140000.0
705,NEWERSTYLES,LD,70.0,8400,P,,0,LVL,ALLPUB,INSIDE,0,CollgCr,NORNAM,NORMAL,SD,OS,7,5,2004,2005,G,SS,VS,VINYLSD,BF,109.0,GD,2,PC,4.0,3.0,3.0,6.0,712.0,1.0,0.0,761.0,1473.0,GASA,4,1,SBRKR,1484,0,0,1484,1.0,0.0,2,0,3,1,GD,7,TYP,0,,ATTCH,2004.0,RFN,2.0,606.0,TA,TA,Y,0,35,0,144,0,0,,,,0,5,2010,WD,NORMAL,213000.0
706,CONVERSION,MD,70.0,5600,P,,0,LVL,ALLPUB,INSIDE,0,IDOTRR,NORNAM,NORMAL,TC,TS,4,5,1930,1950,H,SS,VS,WDSHING,N,0.0,FA,1,S,,,,,0.0,,0.0,0.0,0.0,GASA,1,0,SBRKR,372,720,0,1092,0.0,0.0,2,0,3,2,FA,7,MOD,0,,,,,0.0,0.0,,,N,0,0,0,0,0,0,,,OTHR,3500,7,2010,WD,NORMAL,55000.0
707,NEWERSTYLES,LD,,115149,P,,2,LOW,ALLPUB,CULDSAC,2,ClearCr,NORNAM,NORMAL,SD,OS,7,5,1971,2002,G,SS,PW,PLYWOOD,S,351.0,TA,2,CB,4.0,3.0,4.0,6.0,1219.0,1.0,0.0,424.0,1643.0,GASA,2,1,SBRKR,1824,0,0,1824,1.0,0.0,2,0,2,1,GD,5,TYP,2,TA,ATTCH,1971.0,UNF,2.0,739.0,TA,TA,Y,380,48,0,0,0,0,,,,0,6,2007,WD,NORMAL,302000.0
708,PUD,LD,48.0,6240,P,,0,LVL,ALLPUB,INSIDE,0,NridgHt,NORNAM,NORMAL,TEU,OS,8,5,2006,2006,H,SS,MS,METALSD,BF,176.0,GD,2,PC,4.0,3.0,1.0,6.0,863.0,1.0,0.0,461.0,1324.0,GASA,4,1,SBRKR,1324,0,0,1324,1.0,0.0,2,0,2,1,GD,6,TYP,1,GD,ATTCH,2006.0,FIN,2.0,550.0,TA,TA,Y,192,38,0,0,0,0,,,,0,12,2009,WD,NORMAL,254000.0
709,NEWER,LD,65.0,9018,P,,1,LVL,ALLPUB,INSIDE,0,Gilbert,NORNAM,NORMAL,SD,TS,7,5,2007,2007,H,SS,VS,VINYLSD,N,0.0,GD,2,PC,4.0,3.0,3.0,1.0,0.0,1.0,0.0,728.0,728.0,GASA,4,1,SBRKR,728,728,0,1456,0.0,0.0,2,1,3,1,GD,8,TYP,1,GD,ATTCH,2007.0,FIN,2.0,400.0,TA,TA,Y,100,24,0,0,0,0,,,,0,7,2007,NEW,PARTIAL,179540.0
710,NEWERSTYLES,LD,,7162,P,,1,LVL,ALLPUB,INSIDE,0,Sawyer,NORNAM,NORMAL,SD,OS,5,7,1966,1966,G,SS,HB,HDBOARD,BC,41.0,TA,2,PC,3.0,3.0,1.0,1.0,0.0,1.0,0.0,876.0,876.0,GASA,2,1,SBRKR,904,0,0,904,0.0,0.0,1,0,3,1,TA,6,TYP,0,,ATTCH,1966.0,UNF,1.0,408.0,TA,TA,Y,0,0,0,0,0,0,,MNPRV,,0,12,2008,WD,ABNORMAL,109900.0
711,OLDER,LD,56.0,4130,P,,1,LVL,ALLPUB,INSIDE,0,BrkSide,NORNAM,NORMAL,SD,OS,3,6,1935,2003,G,SS,VS,VINYLSD,N,0.0,GD,2,CB,3.0,3.0,1.0,1.0,0.0,1.0,0.0,270.0,270.0,GASA,3,1,SBRKR,729,0,0,729,0.0,0.0,1,0,2,1,TA,5,MAJJ,0,,,,,0.0,0.0,,,N,0,0,0,0,0,0,,,,0,7,2008,WD,NORMAL,52000.0
712,FINISHEDAGES,C,66.0,8712,P,P,0,HLS,ALLPUB,INSIDE,1,IDOTRR,NORNAM,NORMAL,SD,OHF,4,7,1900,1950,G,SS,MS,METALSD,N,0.0,TA,2,ST,3.0,3.0,2.0,1.0,0.0,1.0,0.0,859.0,859.0,GASA,3,1,SBRKR,859,319,0,1178,0.0,0.0,1,0,2,1,TA,7,TYP,0,,DETCH,1964.0,RFN,1.0,384.0,TA,TA,N,68,0,98,0,0,0,,,,0,1,2010,WD,ABNORMAL,102776.0
713,PUD,LD,40.0,4671,P,,1,HLS,ALLPUB,INSIDE,0,StoneBr,NORNAM,NORMAL,TEU,OS,8,5,1988,1989,G,SS,HB,HDBOARD,N,0.0,GD,2,PC,4.0,3.0,2.0,6.0,767.0,1.0,0.0,461.0,1228.0,GASA,3,1,SBRKR,1228,0,0,1228,1.0,0.0,2,0,2,1,GD,5,TYP,1,GD,ATTCH,1988.0,FIN,2.0,472.0,TA,TA,Y,168,120,0,0,0,0,,,,0,10,2008,WD,NORMAL,189000.0
714,CONVERSION,LD,60.0,9873,P,,0,LVL,ALLPUB,INSIDE,0,BrkSide,RRAN,NORMAL,TC,OS,4,5,1970,1970,G,SS,HB,HDBOARD,BF,160.0,TA,2,CB,3.0,3.0,3.0,5.0,789.0,1.0,0.0,171.0,960.0,GASW,2,0,SBRKR,960,0,0,960,1.0,0.0,1,0,3,1,TA,6,TYP,0,,DETCH,1970.0,UNF,2.0,576.0,TA,TA,Y,0,288,0,0,0,0,,,,0,5,2006,WD,NORMAL,129000.0
715,NEWER,LD,,13517,P,,1,LVL,ALLPUB,CULDSAC,0,Sawyer,RRAE,NORMAL,SD,TS,6,8,1976,2005,G,SS,HB,PLYWOOD,BF,289.0,GD,2,CB,3.0,3.0,1.0,6.0,533.0,1.0,0.0,192.0,725.0,GASA,4,1,SBRKR,725,754,0,1479,0.0,0.0,2,1,3,1,GD,6,TYP,0,,ATTCH,1976.0,RFN,2.0,475.0,TA,TA,Y,0,44,0,0,0,0,,,,0,3,2010,WD,NORMAL,130500.0
716,NEWERSTYLES,LD,78.0,10140,P,,0,LVL,ALLPUB,INSIDE,0,NWAmes,NORNAM,NORMAL,SD,OS,6,5,1974,1974,H,SS,HB,HDBOARD,BF,174.0,TA,2,CB,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1064.0,1064.0,GASA,2,1,SBRKR,1350,0,0,1350,0.0,0.0,2,0,3,1,TA,7,TYP,1,TA,ATTCH,1974.0,RFN,2.0,478.0,TA,TA,Y,0,0,0,0,0,0,,MNPRV,,0,8,2009,WD,NORMAL,165000.0
717,OLDER,MD,60.0,10800,P,G,0,BNK,ALLPUB,INSIDE,0,OldTown,NORNAM,NORMAL,SD,TS,7,8,1890,1998,G,SS,WS,VINYLSD,N,0.0,TA,3,BT,3.0,3.0,1.0,1.0,0.0,1.0,0.0,718.0,718.0,GASA,4,1,SBRKR,1576,978,0,2554,0.0,0.0,1,1,3,1,TA,8,TYP,0,,DETCH,1996.0,UNF,2.0,704.0,TA,TA,P,0,48,143,0,0,0,,,,0,7,2007,WD,NORMAL,159500.0
718,NEWERSTYLES,LD,80.0,10000,P,,0,LVL,ALLPUB,INSIDE,0,NWAmes,NORNAM,NORMAL,SD,OS,5,6,1973,2000,G,SS,HB,HDBOARD,N,0.0,TA,2,CB,4.0,3.0,1.0,4.0,1084.0,1.0,0.0,92.0,1176.0,GASA,3,1,SBRKR,1178,0,0,1178,0.0,1.0,1,1,3,1,GD,5,TYP,1,FA,ATTCH,1973.0,UNF,2.0,439.0,TA,TA,Y,224,0,0,0,0,0,,MNPRV,,0,11,2008,WD,NORMAL,157000.0
719,NEWER,LD,96.0,10542,P,,0,LVL,ALLPUB,INSIDE,0,NoRidge,NORNAM,NORMAL,SD,TS,7,5,1993,1994,H,SS,WS,IMSTUCC,BF,651.0,GD,2,PC,4.0,3.0,4.0,6.0,1173.0,1.0,0.0,138.0,1311.0,GASA,4,1,SBRKR,1325,1093,0,2418,1.0,0.0,2,1,3,1,GD,9,TYP,1,TA,ATTCH,1993.0,RFN,3.0,983.0,TA,TA,Y,250,154,216,0,0,0,,,,0,8,2008,WD,NORMAL,341000.0
720,NEWERSTYLES,LD,69.0,9920,P,,1,LVL,ALLPUB,INSIDE,0,CollgCr,NORNAM,NORMAL,SD,OS,5,6,1969,1969,G,SS,HB,PLYWOOD,N,0.0,TA,2,CB,4.0,3.0,4.0,5.0,523.0,1.0,0.0,448.0,971.0,GASA,2,1,SBRKR,971,0,0,971,0.0,0.0,1,1,3,1,TA,5,TYP,1,PO,ATTCH,1969.0,UNF,1.0,300.0,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2006,WD,NORMAL,128500.0
721,PUD,LD,,6563,P,,1,LOW,ALLPUB,CULDSAC,1,StoneBr,NORNAM,NORMAL,SD,OS,8,5,1985,1985,G,SS,HB,HDBOARD,N,0.0,GD,2,PC,4.0,3.0,4.0,6.0,1148.0,1.0,0.0,594.0,1742.0,GASA,2,1,SBRKR,1742,0,0,1742,1.0,0.0,2,0,2,1,GD,5,TYP,1,TA,ATTCH,1985.0,RFN,2.0,564.0,TA,TA,Y,114,28,234,0,0,0,,,,0,12,2006,WD,NORMAL,275000.0
722,PUD,MD,,4426,P,,0,LVL,ALLPUB,INSIDE,0,CollgCr,NORNAM,NORMAL,TEU,OS,6,5,2004,2004,G,SS,VS,VINYLSD,BF,169.0,GD,2,PC,4.0,3.0,3.0,6.0,662.0,1.0,0.0,186.0,848.0,GASA,4,1,SBRKR,848,0,0,848,1.0,0.0,1,0,1,1,GD,3,TYP,0,,ATTCH,2004.0,RFN,2.0,420.0,TA,TA,Y,160,0,0,0,0,0,,,,0,5,2010,WD,NORMAL,143000.0
723,NEWERSTYLES,LD,70.0,8120,P,,0,LVL,ALLPUB,INSIDE,0,NAmes,NORNAM,NORMAL,SD,OS,4,7,1970,1970,G,SS,MS,METALSD,N,0.0,TA,3,CB,3.0,3.0,1.0,5.0,191.0,1.0,0.0,673.0,864.0,GASA,4,1,SBRKR,864,0,0,864,0.0,0.0,1,0,3,1,TA,5,TYP,0,,DETCH,1994.0,UNF,2.0,463.0,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2009,WD,NORMAL,124500.0
724,FINISHEDAGES,LD,60.0,8172,P,,0,LVL,ALLPUB,INSIDE,0,Edwards,NORNAM,NORMAL,SD,OHF,4,6,1954,1972,G,SS,MS,METALSD,N,0.0,TA,2,PC,3.0,3.0,1.0,1.0,0.0,1.0,0.0,941.0,941.0,GASA,4,1,SBRKR,997,473,0,1470,0.0,0.0,2,0,4,1,TA,7,TYP,0,,DETCH,1958.0,UNF,1.0,548.0,TA,TA,Y,0,0,0,0,156,0,,,,0,5,2008,WD,NORMAL,135000.0
725,NEWERSTYLES,LD,86.0,13286,P,,1,LVL,ALLPUB,INSIDE,0,Edwards,NORNAM,NORMAL,SD,OS,9,5,2007,2008,H,SS,CB,CEMNTBD,S,340.0,EX,2,PC,5.0,3.0,1.0,6.0,1234.0,1.0,0.0,464.0,1698.0,GASA,4,1,SBRKR,1698,0,0,1698,1.0,0.0,2,0,3,1,EX,8,TYP,1,GD,ATTCH,2007.0,FIN,3.0,768.0,TA,TA,Y,327,64,0,0,0,0,,,,0,2,2009,WD,NORMAL,320000.0
726,NEWERSTYLES,LD,60.0,6960,P,,0,LVL,ALLPUB,INSIDE,0,NAmes,NORNAM,NORMAL,SD,OS,4,6,1970,1970,G,SS,HB,PLYWOOD,N,0.0,TA,2,CB,3.0,3.0,1.0,5.0,375.0,4.0,239.0,250.0,864.0,GASA,2,1,SBRKR,864,0,0,864,0.0,0.0,1,0,3,1,GD,5,TYP,0,,DETCH,1989.0,UNF,2.0,660.0,TA,TA,Y,96,0,0,0,0,0,,,SHED,500,11,2009,WD,NORMAL,120500.0
727,NEWERSTYLES,LD,,21695,P,,1,LVL,ALLPUB,CORNER,0,Crawfor,NORNAM,NORMAL,SD,OS,6,9,1988,2007,H,SS,WS,PLYWOOD,BF,260.0,GD,3,CB,4.0,3.0,1.0,6.0,808.0,1.0,0.0,72.0,880.0,GASA,4,1,SBRKR,1680,0,0,1680,1.0,0.0,2,0,3,1,GD,5,TYP,1,GD,ATTCH,1988.0,FIN,2.0,540.0,TA,TA,Y,292,44,0,182,0,0,,,,0,12,2009,WD,NORMAL,222000.0
728,NEWERSTYLES,LD,64.0,7314,P,,0,LVL,ALLPUB,INSIDE,0,CollgCr,NORNAM,NORMAL,SD,OS,7,5,2007,2007,G,SS,VS,VINYLSD,S,82.0,GD,2,PC,4.0,3.0,3.0,6.0,724.0,1.0,0.0,508.0,1232.0,GASA,4,1,SBRKR,1232,0,0,1232,1.0,0.0,2,0,2,1,GD,6,TYP,0,,ATTCH,2007.0,RFN,2.0,632.0,TA,TA,Y,132,0,0,0,0,0,,,,0,2,2009,WD,NORMAL,194500.0
729,DUPLEX,LD,85.0,11475,P,,0,LVL,ALLPUB,CORNER,0,NAmes,NORNAM,NORMAL,D,OS,5,5,1958,1958,G,SS,VS,VINYLSD,BF,95.0,TA,2,CB,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1584.0,1584.0,GASA,2,1,SBRKR,1776,0,0,1776,1.0,0.0,2,0,4,2,TA,9,TYP,0,,DETCH,1968.0,UNF,3.0,888.0,TA,TA,Y,0,25,0,0,0,0,,,,0,7,2009,COD,ABNORMAL,110000.0
730,OLDER,MD,52.0,6240,P,G,0,LVL,ALLPUB,INSIDE,0,IDOTRR,NORNAM,NORMAL,SD,OHF,4,5,1925,1950,G,SS,MS,METALSD,N,0.0,TA,2,CB,3.0,3.0,1.0,4.0,152.0,1.0,0.0,628.0,780.0,GASA,2,1,FUSEA,848,0,360,1208,0.0,0.0,1,0,2,1,TA,5,TYP,0,,DETCH,1962.0,UNF,2.0,539.0,TA,TA,Y,0,23,112,0,0,0,,,,0,1,2009,WD,NORMAL,103000.0
731,PUD,LD,39.0,5389,P,,1,LVL,ALLPUB,INSIDE,0,StoneBr,NORNAM,NORMAL,TEU,OS,8,5,1995,1996,G,SS,CB,CEMNTBD,N,0.0,GD,2,PC,4.0,3.0,1.0,6.0,1180.0,1.0,0.0,415.0,1595.0,GASA,4,1,SBRKR,1616,0,0,1616,1.0,0.0,2,0,2,1,GD,5,TYP,1,TA,ATTCH,1995.0,RFN,2.0,608.0,TA,TA,Y,237,152,0,0,0,0,,,,0,3,2010,WD,NORMAL,236500.0
732,MULTILEVEL,LD,73.0,9590,P,,1,LVL,ALLPUB,CORNER,0,Timber,NORNAM,NORMAL,SD,SL,7,5,2003,2003,G,SS,VS,VINYLSD,BF,442.0,GD,2,PC,5.0,3.0,3.0,6.0,786.0,1.0,0.0,82.0,868.0,GASA,4,1,SBRKR,1146,0,0,1146,1.0,0.0,2,0,3,1,GD,6,TYP,1,GD,ATTCH,2003.0,FIN,2.0,438.0,TA,TA,Y,160,22,0,0,0,0,,,,0,5,2007,WD,NORMAL,187500.0
733,NEWER,LD,75.0,11404,P,,1,LVL,ALLPUB,INSIDE,0,CollgCr,NORNAM,NORMAL,SD,TS,7,5,1998,1999,G,SS,VS,VINYLSD,BF,202.0,GD,2,PC,4.0,3.0,3.0,5.0,252.0,1.0,0.0,901.0,1153.0,GASA,4,1,SBRKR,1153,878,0,2031,0.0,0.0,2,1,3,1,GD,8,TYP,1,TA,ATTCH,1998.0,FIN,2.0,541.0,TA,TA,Y,192,84,0,0,0,0,,,,0,7,2008,WD,NORMAL,222500.0
734,NEWERSTYLES,LD,80.0,10000,P,,0,LVL,ALLPUB,CORNER,0,Sawyer,FEEDR,NORMAL,SD,OS,5,6,1961,1983,H,SS,HB,HDBOARD,N,0.0,TA,2,CB,3.0,3.0,1.0,4.0,594.0,1.0,0.0,270.0,864.0,GASA,4,1,SBRKR,1144,0,0,1144,1.0,0.0,1,0,3,1,TA,6,TYP,1,TA,ATTCH,1961.0,RFN,1.0,264.0,TA,TA,Y,165,0,0,0,0,0,,GDWO,SHED,400,3,2009,WD,NORMAL,131400.0
735,NEWERSTYLES,LD,,8978,P,,1,LVL,ALLPUB,CORNER,0,Sawyer,NORNAM,NORMAL,SD,OS,5,5,1968,1968,G,SS,PW,PLYWOOD,N,0.0,TA,2,PC,3.0,3.0,1.0,1.0,0.0,1.0,0.0,948.0,948.0,GASA,2,1,SBRKR,948,0,0,948,0.0,0.0,1,0,3,1,TA,6,TYP,0,,ATTCH,1968.0,UNF,1.0,300.0,TA,TA,Y,147,0,0,0,0,0,,,,0,5,2007,WD,FAMILY,108000.0
736,STORYAGES,MD,60.0,10800,P,,0,LVL,ALLPUB,INSIDE,0,OldTown,NORNAM,NORMAL,SD,THU,7,7,1914,1970,G,SS,WS,WDSDNG,N,0.0,TA,2,BT,4.0,3.0,2.0,3.0,390.0,1.0,0.0,490.0,880.0,GASW,1,0,SBRKR,880,888,0,1768,0.0,0.0,1,1,2,1,TA,6,TYP,2,TA,DETCH,1914.0,UNF,2.0,320.0,TA,TA,N,0,341,0,0,0,0,,,,0,10,2006,WD,NORMAL,163000.0
737,DUPLEX,LD,60.0,8544,P,,0,LVL,ALLPUB,INSIDE,0,NAmes,NORNAM,NORMAL,D,OS,3,4,1950,1950,G,SS,STC,STONE,N,0.0,TA,2,CB,,,,,0.0,,0.0,0.0,0.0,GASA,3,0,FUSEF,1040,0,0,1040,0.0,0.0,2,0,2,2,TA,6,TYP,0,,DETCH,1949.0,UNF,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2006,WD,NORMAL,93500.0
738,NEWER,LD,72.0,10463,P,,1,HLS,ALLPUB,CULDSAC,0,Gilbert,NORNAM,NORMAL,SD,TS,8,5,2005,2005,G,SS,VS,VINYLSD,N,0.0,GD,2,PC,4.0,3.0,1.0,1.0,0.0,1.0,0.0,893.0,893.0,GASA,4,1,SBRKR,901,900,0,1801,0.0,0.0,2,1,3,1,GD,8,TYP,1,GD,ATTCH,2005.0,FIN,3.0,800.0,TA,TA,Y,0,116,0,0,0,0,,,,0,6,2006,WD,NORMAL,239900.0
739,DUPLEX,LD,60.0,10800,P,,0,LVL,ALLPUB,INSIDE,0,Edwards,NORNAM,NORMAL,D,OS,5,5,1987,1988,G,SS,PW,PLYWOOD,N,0.0,TA,2,CB,4.0,4.0,4.0,6.0,1200.0,1.0,0.0,0.0,1200.0,GASA,2,1,SBRKR,1200,0,0,1200,3.0,0.0,3,0,3,1,TA,5,TYP,0,,,,,0.0,0.0,,,Y,120,0,0,0,0,0,,,,0,3,2009,WD,ALLOCA,179000.0
740,NEWER,LD,65.0,9313,P,,1,LVL,ALLPUB,INSIDE,0,CollgCr,NORNAM,NORMAL,SD,TS,7,5,2004,2004,G,SS,VS,VINYLSD,N,0.0,GD,2,PC,4.0,3.0,1.0,1.0,0.0,1.0,0.0,864.0,864.0,GASA,4,1,SBRKR,864,864,0,1728,0.0,0.0,2,1,3,1,GD,7,TYP,0,,ATTCH,2004.0,RFN,2.0,572.0,TA,TA,Y,187,56,0,0,0,0,,,,0,4,2009,WD,NORMAL,190000.0
741,OLDER,MD,60.0,9600,P,G,0,LVL,ALLPUB,INSIDE,0,OldTown,NORNAM,NORMAL,SD,TS,5,7,1910,2002,G,SS,WS,WDSHING,N,0.0,TA,3,BT,2.0,2.0,1.0,1.0,0.0,1.0,0.0,264.0,264.0,GASA,4,1,SBRKR,768,664,0,1432,0.0,0.0,2,0,2,1,TA,7,TYP,0,,DETCH,1910.0,UNF,2.0,360.0,TA,GD,Y,270,0,112,0,0,0,,GDPRV,,0,5,2007,WD,ABNORMAL,132000.0
742,NEWERSTYLES,LD,65.0,6768,P,,1,LVL,ALLPUB,INSIDE,0,Sawyer,FEEDR,NORMAL,SD,OS,6,8,1961,1996,H,SS,HB,HDBOARD,N,0.0,TA,3,CB,3.0,3.0,2.0,6.0,832.0,1.0,0.0,80.0,912.0,GASA,3,1,SBRKR,912,0,0,912,1.0,1.0,1,0,3,1,GD,5,TYP,0,,DETCH,1962.0,UNF,1.0,288.0,TA,TA,Y,168,0,0,0,0,0,,GDPRV,,0,5,2008,WD,NORMAL,142000.0
